City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,3.73,93,100,5.14,US,2022-12-05
1,ancud,-41.8697,-73.8203,13.65,97,95,5.53,CL,2022-12-05
2,maturin,9.75,-63.1767,24.18,84,79,2.52,VE,2022-12-05
3,saint george,37.1041,-113.5841,14.97,54,20,2.24,US,2022-12-05
4,chuy,-33.6971,-53.4616,20.94,79,0,3.71,UY,2022-12-05
5,honolulu,21.3069,-157.8583,27.9,67,40,3.09,US,2022-12-05
6,bluff,-46.6,168.3333,10.45,62,72,4.18,NZ,2022-12-05
7,albany,42.6001,-73.9662,5.25,48,100,3.01,US,2022-12-05
8,katsuura,35.1333,140.3,7.01,95,100,9.0,JP,2022-12-05
9,ponazyrevo,58.3578,46.3142,-13.37,90,99,2.28,RU,2022-12-05
10,rikitea,-23.1203,-134.9692,24.23,81,95,6.23,PF,2022-12-05
11,fairmont,39.4851,-80.1426,13.51,45,25,0.9,US,2022-12-05
12,ushuaia,-54.8,-68.3,8.81,46,75,11.32,AR,2022-12-05
13,atuona,-9.8,-139.0333,25.3,74,91,7.0,PF,2022-12-05
14,hinatuan,8.3722,126.3342,24.54,91,100,0.71,PH,2022-12-05
15,port elizabeth,-33.918,25.5701,16.29,90,2,4.02,ZA,2022-12-05
16,lazaro cardenas,17.9583,-102.2,28.22,70,0,2.98,MX,2022-12-05
17,umm lajj,25.0213,37.2685,23.7,67,0,3.5,SA,2022-12-05
18,punta arenas,-53.15,-70.9167,10.06,40,40,8.75,CL,2022-12-05
19,saint-philippe,-21.3585,55.7679,22.77,79,99,4.42,RE,2022-12-05
20,port alfred,-33.5906,26.891,14.54,94,0,0.89,ZA,2022-12-05
21,te anau,-45.4167,167.7167,8.59,97,100,1.64,NZ,2022-12-05
22,bethel,41.3712,-73.414,7.17,50,0,1.54,US,2022-12-05
23,santa cruz,-17.8,-63.1667,37.03,30,75,3.09,BO,2022-12-05
24,cabedelo,-6.9811,-34.8339,26.37,76,15,5.33,BR,2022-12-05
25,barrow,71.2906,-156.7887,-0.99,86,75,9.77,US,2022-12-05
26,mataura,-46.1927,168.8643,10.27,90,97,1.57,NZ,2022-12-05
27,grindavik,63.8424,-22.4338,-2.74,100,20,2.57,IS,2022-12-05
